Item_Identifier,Item_Weight,Item_Visibility,Item_MRP,Outlet_Identifier,Item_Outlet_Sales,Outlet_Age,Item_Visibility_bins,Item_Fat_Content_0,Item_Fat_Content_1,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3,Item_Type_Combined_Drinks,Item_Type_Combined_Food,Item_Type_Combined_Non-Consumable
FDF41,12.15,0.131383762,246.046,OUT049,1231.73,19,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
FDB56,8.75,0.07461309,187.4556,OUT035,3755.112,14,2,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
NCP18,12.792854228644284,0.028459761,149.9708,OUT027,4363.6532,33,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1
FDB56,8.75,0.074627201,187.8556,OUT046,1314.2892,21,2,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
FDT28,13.3,0.063695084,151.0708,OUT045,1805.6496,16,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDD10,12.792854228644284,0.045797829,178.5344,OUT027,2854.9504,33,2,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
FDW57,8.31,0.115857223,179.1028,OUT049,3896.2616,19,2,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
DRB48,16.75,0.024832806,38.7822,OUT013,667.7974,31,2,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0
FDP09,19.75,0.034027909,212.0902,OUT018,3185.853,9,2,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
FDH14,17.1,0.0467696,141.1838,OUT013,2247.7408,31,2,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
FDA47,10.5,0.116576702,163.121,OUT013,1794.331,31,2,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
FDG12,6.635,0.0,121.3098,OUT045,2530.7058,16,3,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
DRK49,14.15,0.035913805,41.4138,OUT013,812.276,31,2,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0
FDD03,13.3,0.079806266,232.53,OUT046,699.09,21,2,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
FDS52,8.89,0.005505481,102.4016,OUT017,2732.4432,11,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDW39,12.792854228644284,0.064625342,176.937,OUT019,176.437,33,2,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
FDX34,12.792854228644284,0.071636937,121.7098,OUT027,4097.3332,33,2,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
FDV11,9.1,0.0,173.2054,OUT045,3151.8972,16,3,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
FDD17,7.5,0.032677678,239.0906,OUT049,5942.265,19,2,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
FDZ16,16.85,0.160760054,192.4478,OUT017,4843.695,11,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
FDZ46,7.485,0.06911065,109.0228,OUT035,2542.0244,14,2,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
DRA12,11.6,0.041177505,140.3154,OUT017,2552.6772,11,2,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
FDY58,11.65,0.040081193,227.0694,OUT018,1141.847,9,2,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
NCF19,13.0,0.035307322,47.5034,OUT017,680.4476,11,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
DRJ13,12.65,0.063017847,159.0578,OUT045,2085.9514,16,2,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
FDB14,20.25,0.171938781,92.512,OUT010,186.424,20,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
FDJ38,8.6,0.040197932,190.153,OUT035,3036.048,14,2,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
FDW11,12.6,0.049058014,62.7194,OUT017,866.8716,11,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDL40,17.7,0.01161096,95.041,OUT035,868.869,14,2,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
DRI49,14.15,0.183507295,82.4276,OUT046,1137.1864,21,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
FDV38,19.25,0.102349519,52.7956,OUT017,928.1252,11,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
DRG23,8.88,0.086708987,151.7682,OUT013,762.341,31,2,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0
NCP30,20.5,0.032835147,40.2822,OUT045,707.0796,16,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
FDY25,12.792854228644284,0.033809913,180.5976,OUT027,7968.2944,33,2,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
NCH54,13.5,0.07266912,160.292,OUT046,1438.128,21,2,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
NCR53,12.792854228644284,0.144338493,224.4404,OUT027,6976.2524,33,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1
FDS52,8.89,0.009163216,101.7016,OUT010,101.2016,20,2,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
FDG02,7.855,0.011307038,188.5188,OUT018,952.094,9,2,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
NCO26,7.235,0.076855628,116.0492,OUT046,1969.4364,21,2,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
FDH35,12.792854228644284,0.059956876,165.4526,OUT027,5262.4832,33,2,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
FDB51,6.92,0.038532062,60.5852,OUT045,1314.2892,16,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDX44,9.3,0.043209581,90.8172,OUT017,535.3032,11,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
NCN07,18.5,0.056816465,132.1284,OUT010,263.6568,20,2,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
NCC31,8.02,0.019866705,154.5972,OUT035,1402.1748,14,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
NCX54,9.195,0.048331717,105.1622,OUT017,1693.7952,11,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
NCO55,12.8,0.091221855,105.5938,OUT045,2143.876,16,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
NCC30,16.6,0.027622076,177.6344,OUT049,2676.516,19,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
FDI16,14.0,0.0,53.064,OUT035,905.488,14,3,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
FDP16,18.6,0.039355947,246.3802,OUT049,7370.406,19,2,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
FDB11,16.0,0.060836524,226.8404,OUT035,6301.1312,14,2,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
NCB06,17.6,0.082316506,160.692,OUT035,1597.92,14,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
FDA45,21.25,0.155350299,178.237,OUT035,529.311,14,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
NCO26,7.235,0.076841095,117.5492,OUT035,1969.4364,14,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
DRJ25,14.6,0.151419185,50.3692,OUT017,1034.6532,11,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
FDR28,13.85,0.026001976,161.521,OUT018,1794.331,9,2,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
FDI04,13.65,0.073209447,197.6426,OUT018,2768.3964,9,2,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
DRK12,12.792854228644284,0.041683481,31.29,OUT027,898.83,33,2,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
FDX20,7.365,0.042560252,226.172,OUT046,3169.208,21,2,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
NCI18,18.35,0.014081156,223.5746,OUT018,3589.9936,9,2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
FDB36,5.465,0.0,132.5626,OUT018,262.3252,9,3,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
FDN13,18.6,0.152918384,99.8358,OUT017,1910.1802,11,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
DRD24,13.85,0.030969274,140.9154,OUT017,1701.7848,11,2,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
FDQ28,14.0,0.060376776,154.5656,OUT013,2471.4496,31,2,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
FDM22,14.0,0.04192285,54.764,OUT013,1331.6,31,2,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
FDR07,12.792854228644284,0.077367431,97.0094,OUT027,1808.9786,33,2,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
FDV25,5.905,0.045838211,222.5456,OUT018,3315.684,9,2,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
DRF49,7.27,0.071077939,114.2518,OUT046,2618.5914,21,2,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
FDW51,6.155,0.094659871,214.556,OUT046,2769.728,21,2,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
DRL01,19.5,0.077608838,233.4958,OUT017,5375.0034,11,2,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
FDP25,15.2,0.021327477,216.8824,OUT017,2838.9712,11,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDL50,12.15,0.042485444,125.0046,OUT018,1743.0644,9,2,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
NCB30,12.792854228644284,0.025578526,198.8084,OUT027,5555.4352,33,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1
FDW11,12.6,0.0489808,61.9194,OUT018,619.194,9,2,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
NCM43,14.5,0.019471688,164.821,OUT035,2120.573,14,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
FDK44,16.6,0.122918852,173.0738,OUT017,3823.0236,11,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDM15,11.8,0.057373797,151.4366,OUT013,1360.2294,31,2,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
FDS31,13.1,0.044155597,178.8318,OUT013,3969.4996,31,2,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
FDR47,17.85,0.0,196.5794,OUT010,585.2382,20,3,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
FDB35,12.3,0.064750025,92.6804,OUT045,1010.6844,16,2,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
NCU05,11.8,0.098312421,81.4618,OUT010,161.1236,20,2,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
DRY23,12.792854228644284,0.191013663,42.1112,OUT019,42.6112,33,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0
FDO24,11.1,0.176573035,157.4604,OUT045,3010.7476,16,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDQ28,12.792854228644284,0.060134441,153.0656,OUT027,6024.1584,33,2,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
FDV39,11.3,0.007294652,198.1426,OUT045,988.713,16,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
NCO17,12.792854228644284,0.128478462,117.944,OUT019,239.688,33,2,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1
FDU50,5.75,0.075107656,112.8176,OUT013,1374.2112,31,2,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
FDT12,12.792854228644284,0.049381406,226.8062,OUT027,4739.8302,33,2,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
FDK58,11.35,0.045165796,100.0016,OUT018,1012.016,9,2,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
FDO08,12.792854228644284,0.09415375,165.7526,OUT019,657.8104,33,2,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
NCW29,14.0,0.028907832,130.431,OUT049,778.986,19,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
FDE04,19.75,0.018059621,179.766,OUT045,2336.958,16,2,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
NCB19,6.525,0.090436094,85.0882,OUT049,2233.0932,19,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
FDV15,10.3,0.146399712,103.9648,OUT049,1661.8368,19,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
FDL58,5.78,0.074264356,264.7568,OUT049,4745.8224,19,2,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
FDA08,11.85,0.050186726,164.1526,OUT045,3124.5994,16,2,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
FDT43,16.35,0.020631654,50.1324,OUT018,467.3916,9,2,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
NCX06,12.792854228644284,0.01561108,182.5976,OUT027,5070.7328,33,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1
FDT20,10.5,0.041395445,37.6164,OUT046,540.6296,21,2,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
FDB41,19.0,0.097313129,48.0718,OUT046,992.7078,21,2,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
NCN55,14.6,0.059582996,238.8538,OUT049,6008.845,19,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
FDE40,12.792854228644284,0.098663652,62.9194,OUT027,2105.2596,33,2,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
FDX49,12.792854228644284,0.101338651,232.63,OUT027,5359.69,33,2,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
NCM53,18.75,0.052146456,104.628,OUT045,745.696,16,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
FDE36,5.26,0.041764487,161.8868,OUT035,3275.736,14,2,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
FDN57,18.25,0.054344186,140.2154,OUT045,1701.7848,16,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDI24,12.792854228644284,0.078362484,177.937,OUT027,6704.606,33,2,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
FDI19,15.1,0.052339069,242.7512,OUT046,4119.9704,21,2,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
FDF24,15.5,0.042464962,81.5934,OUT010,327.5736,20,2,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
FDG52,13.65,0.065732883,45.7402,OUT049,780.9834,19,2,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
DRF36,16.1,0.023625114,189.3846,OUT045,3630.6074,16,2,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
FDS45,12.792854228644284,0.051643608,107.3622,OUT019,317.5866,33,2,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
FDX40,12.85,0.165694219,39.7164,OUT010,231.6984,20,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
DRK12,9.5,0.041878397,32.99,OUT035,133.16,14,2,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
DRC27,13.8,0.058091482,245.1802,OUT035,5650.6446,14,2,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
